,ticker,date,volume
577,MUSA,2016-01-10,-0.0222222222
595,ORLY,2016-01-10,0.0222222222
604,PAG,2016-01-10,-0.0222222222
613,PBPB,2016-01-10,0.0222222222
648,PZZA,2016-01-10,0.0222222222
665,RCII,2016-01-10,-0.0222222222
692,RRGB,2016-01-10,-0.0222222222
701,RUSHA,2016-01-10,-0.0222222222
710,RUTH,2016-01-10,-0.0222222222
719,SAH,2016-01-10,0.0222222222
728,SBH,2016-01-10,-0.0222222222
738,SEAS,2016-01-10,-0.0222222222
747,SFM,2016-01-10,0.0222222222
774,SIX,2016-01-10,-0.0222222222
826,TA,2016-01-10,-0.0222222222
862,TTS,2016-01-10,0.0222222222
871,TUES,2016-01-10,-0.0222222222
880,TXRH,2016-01-10,0.0222222222
889,WEN,2016-01-10,-0.0222222222
916,WOOF,2016-01-10,0.0222222222
934,YUM,2016-01-10,-0.0222222222
41,AAN,2016-02-18,close all
132,AAP,2016-02-11,close all
312,AN,2016-01-28,close all
751,BJRI,2016-02-19,close all
951,BLMN,2016-02-17,close all
1222,BWLD,2016-02-04,close all
1311,CAB,2016-02-18,close all
1401,CAKE,2016-02-17,close all
1491,CAR,2016-02-24,close all
1851,CHEF,2016-02-19,close all
1941,CHUY,2016-03-02,close all
2031,CMG,2016-02-03,close all
2391,CVS,2016-02-09,close all
2571,DFRG,2016-03-01,close all
2931,DNKN,2016-02-04,close all
3551,FRGI,2016-02-25,close all
3641,FUN,2016-02-17,close all
4311,HVT,2016-02-25,close all
4401,HZO,2016-02-04,close all
4571,JACK,2016-02-18,close all
5051,LAD,2016-02-24,close all
5231,LL,2016-02-29,close all
5501,MCD,2016-01-25,close all
5681,MNRO,2016-01-26,close all
5771,MUSA,2016-02-04,close all
5951,ORLY,2016-02-11,close all
6041,PAG,2016-02-11,close all
6131,PBPB,2016-02-17,close all
6481,PZZA,2016-02-24,close all
6651,RCII,2016-02-02,close all
6921,RRGB,2016-02-12,close all
7011,RUSHA,2016-02-10,close all
7101,RUTH,2016-02-12,close all
7191,SAH,2016-02-23,close all
7281,SBH,2016-02-04,close all
7381,SEAS,2016-02-25,close all
7471,SFM,2016-02-25,close all
7741,SIX,2016-02-18,close all
8261,TA,2016-03-14,close all
8621,TTS,2016-02-16,close all
8711,TUES,2016-01-29,close all
8801,TXRH,2016-02-23,close all
8891,WEN,2016-02-09,close all
9161,WOOF,2016-02-11,close all
9341,YUM,2016-02-04,close all
5,AAN,2016-04-10,-0.0222222222
14,AAP,2016-04-10,-0.0222222222
32,AN,2016-04-10,0.0222222222
76,BJRI,2016-04-10,-0.0222222222
96,BLMN,2016-04-10,-0.0222222222
123,BWLD,2016-04-10,-0.0222222222
1321,CAB,2016-04-10,0.0222222222
141,CAKE,2016-04-10,-0.0222222222
150,CAR,2016-04-10,-0.0222222222
186,CHEF,2016-04-10,0.0222222222
195,CHUY,2016-04-10,0.0222222222
204,CMG,2016-04-10,0.0222222222
240,CVS,2016-04-10,-0.0222222222
258,DFRG,2016-04-10,0.0222222222
294,DNKN,2016-04-10,0.0222222222
356,FRGI,2016-04-10,0.0222222222
365,FUN,2016-04-10,0.0222222222
432,HVT,2016-04-10,0.0222222222
441,HZO,2016-04-10,0.0222222222
458,JACK,2016-04-10,0.0222222222
506,LAD,2016-04-10,0.0222222222
